Location,Property,"Area Serviced (choose all that apply)","Acres Salted","Blade Used","Submission Date","Submitted By","Assigned To"
"Sec 15 - Carol Stream East","175 Wall St","South Side      ,West Side       ","1/8 of lot",no,"01/29/2016 02:29 AM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","355 Long View","South Side      ,West Side       ","1/8 of lot",no,"01/29/2016 02:29 AM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","230 Lies","South Side      ,East Side       ","1/8 of lot",no,"01/29/2016 02:18 AM","SnowPlus Staff","Cody Moutvic"
"Sec 04 - Aurora West / Batavia","West Aurora Plaza","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/29/2016 02:16 AM","SnowPlus Staff",
"Sec 15 - Carol Stream East","376 Lies","North  Side       ,South Side      ,East Side       ","1/8 of lot",no,"01/29/2016 02:13 AM","SnowPlus Staff","Cody Moutvic"
"Sec 05 - Bedford Park","Art Van - Cicero","South Side      ,East Side       ","1/8 of lot",no,"01/29/2016 01:41 AM","SnowPlus Staff","Enick Morris"
"Sec 01 - Addison","Devry University","North  Side       ,South Side      ,West Side       ,East Side       ","1/2 of lot",no,"01/29/2016 01:36 AM","SnowPlus Staff","Wally Sternberg"
"Sec 05 - Bedford Park","Northstar Aerospace","North  Side       ,South Side      ,East Side       ","1/16 of lot ",no,"01/29/2016 01:34 AM","SnowPlus Staff","Enick Morris"
"Sec 19 - Elk Grove Village","2700 Carl","South Side      ","1/16 of lot ",no,"01/29/2016 01:26 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2800 Carl","North  Side       ,South Side      ","1/8 of lot",no,"01/29/2016 01:26 AM","SnowPlus Staff","Ernie Vargas"
"Sec 18 - Mt. Prospect-Glenview","1471 Business Center","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/29/2016 01:25 AM","SnowPlus Staff","Bobby Gomez"
"Sec 01 - Addison","2171 Executive","North  Side       ,South Side      ,West Side       ,East Side       ","1/4 of lot",no,"01/29/2016 01:22 AM","SnowPlus Staff","Wally Sternberg"
"Sec 07 - Bensenville","855 Woodale",,"1/8 of lot",no,"01/29/2016 01:21 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1290 Thorndale","East Side       ","1/16 of lot ",no,"01/29/2016 01:18 AM","SnowPlus Staff","Ernie Vargas"
"Sec 30 - Lisle / Warrenville","1000 & 1100 Warrenville","North  Side       ,South Side      ,West Side       ,East Side       ","1/4 of lot",no,"01/29/2016 01:17 AM","SnowPlus Staff","Scott Erickson"
"Sec 19 - Elk Grove Village","1100 Thorndale","North  Side       ,West Side       ,East Side       ","1/8 of lot",no,"01/29/2016 01:15 AM","SnowPlus Staff","Ernie Vargas"
"Sec 02 - Alsip","7400 Richard - World Imports","South Side      ","1/16 of lot ",no,"01/29/2016 01:12 AM","SnowPlus Staff",
"Sec 19 - Elk Grove Village","2901 Lively","East Side       ","1/16 of lot ",no,"01/29/2016 01:11 AM","SnowPlus Staff","Ernie Vargas"
"Sec 01 - Addison","710 Belden","South Side      ,West Side       ","1/16 of lot ",no,"01/29/2016 01:08 AM","SnowPlus Staff","Wally Sternberg"
"Sec 07 - Bensenville","201 Hansen",,"1/16 of lot ",no,"01/29/2016 01:08 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2800 - 2900 Lively","West Side       ","1/16 of lot ",no,"01/29/2016 01:08 AM","SnowPlus Staff","Ernie Vargas"
"Sec 01 - Addison","780 Belden","North  Side       ,South Side      ,West Side       ,East Side       ","1/2 of lot",no,"01/29/2016 01:08 AM","SnowPlus Staff","Wally Sternberg"
