Location,Property,"Area Serviced (choose all that apply)","Acres Salted","Blade Used","Submission Date","Submitted By","Assigned To"
"Sec 07 - Bensenville","630-650 Supreme","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",yes,"02/14/2016 02:26 PM","SnowPlus Staff","Ernie Vargas"
"Sec 17 - Lombard / Oakbrook","The Crossings","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/11/2016 05:18 AM","SnowPlus Staff","Jim Rose"
"Sec 17 - Lombard / Oakbrook","Oak brook International","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/11/2016 05:18 AM","SnowPlus Staff","Jim Rose"
"Sec 17 - Lombard / Oakbrook","Eisenhower Buildings","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/11/2016 04:28 AM","SnowPlus Staff","Greg Skonie"
"Sec 30 - Lisle / Warrenville","1000 & 1100 Warrenville","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/11/2016 03:57 AM","SnowPlus Staff","Scott Erickson"
"Sec 29 - Naperville West",Kellogg,"North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/11/2016 03:39 AM","SnowPlus Staff","Scott Erickson"
"Sec 22 - Elgin",Chase,"North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/11/2016 02:48 AM","SnowPlus Staff","Freddy Martin"
"Sec 32 - Schaumburg",Sunstar,"North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/11/2016 02:00 AM","SnowPlus Staff","Connor Young"
"Sec 26 - Itasca",Canon,"North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/11/2016 01:37 AM","SnowPlus Staff","Don Down"
"Sec 01 - Addison","780 Belden","North  Side       ,East Side       ","1/16 of lot ",no,"02/11/2016 12:40 AM","SnowPlus Staff","Wally Sternberg"
"Sec 29 - Naperville West","220 Frontenac","East Side       ","1/4 of lot",yes,"02/10/2016 03:54 AM","SnowPlus Staff","Mito Sopko"
"Sec 29 - Naperville West","International Paper","South Side      ","1/4 of lot",yes,"02/10/2016 03:34 AM","SnowPlus Staff","Scott Erickson"
"Sec 07 - Bensenville","855 Woodale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 02:57 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","201 Hansen","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 02:57 AM","SnowPlus Staff","Ernie Vargas"
"Sec 29 - Naperville West","International Paper",,"1/8 of lot",yes,"02/10/2016 02:47 AM","SnowPlus Staff","Scott Erickson"
"Sec 20 - Elk Grove Village North","951 Fargo","North  Side       ,South Side      ,East Side       ","1/16 of lot ",no,"02/10/2016 02:32 AM","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","1500 Higgins Rd","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 02:31 AM","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","1723 Marshall","West Side       ","1/16 of lot ",no,"02/10/2016 02:29 AM","SnowPlus Staff","Ernie Vargas"
"Sec 28 - Naperville East","2012 Corporate","West Side       ,East Side       ","1/8 of lot",yes,"02/10/2016 02:07 AM","SnowPlus Staff","Scott Erickson"
"Sec 28 - Naperville East","Canterra Commons","North  Side       ,South Side      ,West Side       ","1/8 of lot",yes,"02/10/2016 01:52 AM","SnowPlus Staff","Scott Erickson"
"Sec 35 - Woodridge Industrial","10350 Beaudin",,"1/4 of lot",no,"02/10/2016 01:45 AM","SnowPlus Staff","Doug Hendon"
"Sec 07 - Bensenville","311 Richert","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:42 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","571-599 Edgewood","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:42 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","975-1001 Bryn Mawr","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:41 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1601 Pratt","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:41 AM","SnowPlus Staff","Ernie Vargas"
