Location,Property,"Area Serviced (choose all that apply)","Acres Salted","Blade Used","Submission Date","Submitted By","Assigned To"
"Sec 17 - Lombard / Oakbrook","Oak brook International","North  Side       ,South Side      ,West Side       ,East Side       ","1/4 of lot",no,"02/03/2016 09:39 PM","SnowPlus Staff","Jim Rose"
"Sec 13 - Romeoville","160 South Creek","North  Side       ,South Side      ","1/16 of lot ",no,"02/03/2016 09:23 PM","SnowPlus Staff","Mike Jungles"
"Sec 25 - Glendale Heights","139 Army Trail",,"1/16 of lot ",no,"02/03/2016 09:21 PM","SnowPlus Staff","Paul Steinhauer"
"Sec 17 - Lombard / Oakbrook","Art Van - Butterfield","North  Side       ,West Side       ","1/16 of lot ",no,"02/03/2016 09:20 PM","SnowPlus Staff","Greg Skonie"
"Sec 32 - Schaumburg","Bed Bath & Beyond",,"1/8 of lot",no,"02/03/2016 09:17 PM","SnowPlus Staff","Connor Young"
"Sec 21 - Bartlett","Stearns Crossing (Retail)",,"1/16 of lot ",no,"02/03/2016 09:16 PM","SnowPlus Staff","Chad Meyer"
"Sec 13 - Romeoville","Buffalo Wild Wings and Retail","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/03/2016 09:09 PM","SnowPlus Staff","Mike Jungles"
"Sec 16 - Carol Stream West","Wheaton Sports Center","North  Side       ,West Side       ,East Side       ","1/8 of lot",no,"02/03/2016 08:53 PM","SnowPlus Staff","Leo Vargas"
"Sec 34 - Woodridge Retail","Darien Towne Center","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/03/2016 08:38 PM","SnowPlus Staff","Dan Castro"
"Sec 34 - Woodridge Retail","Centerpointe Retail Centre","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/03/2016 08:28 PM","SnowPlus Staff","Dan Castro"
"Sec 01 - Addison","350 Rohlwing - Vanport Warehousing","North  Side       ","1/16 of lot ",no,"02/02/2016 04:21 PM","Admin Admin","Wally Sternberg"
"Sec 08 - Berkeley","4700 Proviso","North  Side       ","1/8 of lot",yes,"02/02/2016 10:17 AM","Admin Admin","Jim Jungles"
"Sec 06 - McCook",EMD,"North  Side       ,South Side      ,West Side       ,East Side       ","whole lot",no,"02/02/2016 05:04 AM","SnowPlus Staff","Richard Groome"
"Sec 01 - Addison","710 Belden",,"1/4 of lot",no,"02/02/2016 03:40 AM","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","775 Belden",,"1/2 of lot",no,"02/02/2016 03:33 AM","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","780 Belden",,"1/4 of lot",no,"02/02/2016 03:32 AM","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","350 Rohlwing - Vanport Warehousing",,"1/2 of lot",no,"02/02/2016 03:16 AM","SnowPlus Staff","Wally Sternberg"
"Sec 18 - Mt. Prospect-Glenview","1000 Milwaukee","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"02/02/2016 03:12 AM","SnowPlus Staff","Bobby Gomez"
"Sec 01 - Addison","2171 Executive",,"1/16 of lot ",no,"02/02/2016 03:03 AM","SnowPlus Staff","Wally Sternberg"
"Sec 05 - Bedford Park","Art Van - Cicero","South Side      ,West Side       ,East Side       ","1/2 of lot",no,"02/02/2016 03:02 AM","SnowPlus Staff","Enick Morris"
"Sec 05 - Bedford Park","Northstar Aerospace","North  Side       ,South Side      ,East Side       ","1/2 of lot",no,"02/02/2016 02:55 AM","SnowPlus Staff","Enick Morris"
"Sec 01 - Addison","Devry University",,"1/8 of lot",no,"02/02/2016 02:52 AM","SnowPlus Staff","Wally Sternberg"
"Sec 21 - Bartlett","Stearns Crossing (Retail)",,"1/8 of lot",no,"02/02/2016 02:51 AM","SnowPlus Staff","Chad Meyer"
"Sec 31 - Roselle","50 Gary",,"1/16 of lot ",no,"02/02/2016 02:50 AM","SnowPlus Staff","Chad Meyer"
"Sec 31 - Roselle","100 Gary",,"1/16 of lot ",no,"02/02/2016 02:50 AM","SnowPlus Staff","Chad Meyer"
"Sec 31 - Roselle","200 Gary",,"1/8 of lot",no,"02/02/2016 02:50 AM","SnowPlus Staff","Chad Meyer"
"Sec 31 - Roselle","200 Gary Service Road",,"1/2 of lot",no,"02/02/2016 02:49 AM","SnowPlus Staff","Chad Meyer"
"Sec 31 - Roselle","200 Gary Service Road",,"1/2 of lot",no,"02/02/2016 02:49 AM","SnowPlus Staff","Chad Meyer"
"Sec 05 - Bedford Park","7301 - 7361 Meade","West Side       ,East Side       ","1/8 of lot",no,"02/02/2016 02:49 AM","SnowPlus Staff","Enick Morris"
"Sec 31 - Roselle","1600 Central",,"1/16 of lot ",no,"02/02/2016 02:49 AM","SnowPlus Staff","Chad Meyer"
"Sec 31 - Roselle","Maines Foods",,"1/8 of lot",no,"02/02/2016 02:49 AM","SnowPlus Staff","Chad Meyer"
"Sec 31 - Roselle","5700 Turnberry",,"1/16 of lot ",no,"02/02/2016 02:48 AM","SnowPlus Staff","Chad Meyer"
"Sec 22 - Elgin","901 Weseman",,"1/16 of lot ",no,"02/02/2016 02:48 AM","SnowPlus Staff","Freddy Martin"
"Sec 22 - Elgin","1111 Davis",,"1/16 of lot ",no,"02/02/2016 02:47 AM","SnowPlus Staff","Freddy Martin"
"Sec 22 - Elgin","1675 Holmes",,"1/16 of lot ",no,"02/02/2016 02:47 AM","SnowPlus Staff","Freddy Martin"
"Sec 22 - Elgin","1360 Madeline",,"1/8 of lot",no,"02/02/2016 02:47 AM","SnowPlus Staff","Freddy Martin"
"Sec 22 - Elgin","1385 Madeline",,"1/16 of lot ",no,"02/02/2016 02:46 AM","SnowPlus Staff","Freddy Martin"
"Sec 22 - Elgin","2700 Alft",,"1/16 of lot ",no,"02/02/2016 02:46 AM","SnowPlus Staff","Freddy Martin"
"Sec 22 - Elgin",Chase,,"1/16 of lot ",no,"02/02/2016 02:45 AM","SnowPlus Staff","Freddy Martin"
"Sec 22 - Elgin","2770 Aflt",,"1/16 of lot ",no,"02/02/2016 02:45 AM","SnowPlus Staff","Freddy Martin"
"Sec 18 - Mt. Prospect-Glenview","1471 Business Center","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 02:43 AM","SnowPlus Staff","Bobby Gomez"
"Sec 26 - Itasca","1376 Industrial",,"1/8 of lot",no,"02/02/2016 02:36 AM","SnowPlus Staff","Don Down"
"Sec 30 - Lisle / Warrenville","Univ. Tech Institute","North  Side       ,West Side       ","1/8 of lot",no,"02/02/2016 02:31 AM","SnowPlus Staff","Jose Legaspi"
"Sec 26 - Itasca","909 Irving Park",,"1/4 of lot",no,"02/02/2016 02:25 AM","SnowPlus Staff","Don Down"
"Sec 07 - Bensenville","571-599 Edgewood","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 02:24 AM","SnowPlus Staff","Ernie Vargas"
"Sec 34 - Woodridge Retail","Darien Towne Center","South Side      ,West Side       ,East Side       ","1/2 of lot",no,"02/02/2016 02:21 AM","SnowPlus Staff","Dan Castro"
"Sec 26 - Itasca","690 Hilltop",,"1/2 of lot",no,"02/02/2016 02:19 AM","SnowPlus Staff","Don Down"
"Sec 07 - Bensenville","1010 Foster","North  Side       ","1/16 of lot ",no,"02/02/2016 02:18 AM","SnowPlus Staff","Ernie Vargas"
"Sec 23 - Rosemont","Columbia Center III","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 02:15 AM","SnowPlus Staff","Jim Jungles"
"Sec 23 - Rosemont","Columbia Center I & II","North  Side       ,South Side      ,West Side       ","1/16 of lot ",no,"02/02/2016 02:14 AM","SnowPlus Staff","Jim Jungles"
"Sec 04 - Aurora West / Batavia","West Aurora Plaza","North  Side       ","1/16 of lot ",no,"02/02/2016 02:14 AM","SnowPlus Staff",
"Sec 30 - Lisle / Warrenville","535 Diehl","South Side      ,West Side       ","1/8 of lot",no,"02/02/2016 02:14 AM","SnowPlus Staff","Scott Erickson"
"Sec 07 - Bensenville","311 Richert","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 02:14 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","311 Richert","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 02:14 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","626-630 Thomas","North  Side       ","1/16 of lot ",no,"02/02/2016 02:13 AM","SnowPlus Staff","Ernie Vargas"
"Sec 02 - Alsip","Evergreen Market Place - Retail","East Side       ","1/16 of lot ",no,"02/02/2016 02:09 AM","SnowPlus Staff",
"Sec 34 - Woodridge Retail","Centerpointe Retail Centre","North  Side       ,East Side       ","1/2 of lot",no,"02/02/2016 02:09 AM","SnowPlus Staff","Dan Castro"
"Sec 30 - Lisle / Warrenville","1000 & 1100 Warrenville","North  Side       ,South Side      ,West Side       ","whole lot",no,"02/02/2016 02:07 AM","SnowPlus Staff","Scott Erickson"
"Sec 07 - Bensenville","860-888 Thomas","North  Side       ,South Side      ","1/16 of lot ",no,"02/02/2016 02:07 AM","SnowPlus Staff","Ernie Vargas"
"Sec 32 - Schaumburg",Sunstar,,"1/8 of lot",no,"02/02/2016 02:06 AM","SnowPlus Staff","Brandon Temesuary"
"Sec 26 - Itasca",Canon,,"1/16 of lot ",no,"02/02/2016 02:05 AM","SnowPlus Staff","Don Down"
"Sec 07 - Bensenville","560-590 Supreme","North  Side       ,South Side      ,West Side       ","1/16 of lot ",no,"02/02/2016 02:04 AM","SnowPlus Staff","Ernie Vargas"
"Sec 25 - Glendale Heights","80 International","West Side       ","1/4 of lot",no,"02/02/2016 01:58 AM","SnowPlus Staff","Paul Steinhauer"
"Sec 10 - Bolingbrook West","901 Carlow","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:58 AM","SnowPlus Staff","Donato Garcia"
"Sec 07 - Bensenville","600-608 & 610-620 Supreme ( 2 bdgs)","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:56 AM","SnowPlus Staff","Ernie Vargas"
"Sec 23 - Rosemont","3708 River","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:54 AM","SnowPlus Staff","Jim Jungles"
"Sec 07 - Bensenville","855 Woodale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:53 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","855 Woodale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:53 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","201 Hansen","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:53 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","201 Hansen","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:52 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","630-650 Supreme","South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:52 AM","SnowPlus Staff","Ernie Vargas"
"Sec 34 - Woodridge Retail","Art Van - Woodridge","North  Side       ,South Side      ,West Side       ","1/2 of lot",no,"02/02/2016 01:52 AM","SnowPlus Staff","Dan Castro"
"Sec 19 - Elk Grove Village","1601 Pratt","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:51 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1501 Pratt","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:51 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1501 Pratt","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:51 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1201 Kirk","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:51 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1201 Kirk","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:50 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2521 Lively","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:50 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1107 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:49 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1201-1251 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:49 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1300 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:49 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2800 - 2900 Lively","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:48 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2521 Lively","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:48 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1107 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:47 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1107 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:47 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1201-1251 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:47 AM","SnowPlus Staff","Ernie Vargas"
"Sec 17 - Lombard / Oakbrook","601 Oakmont","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:47 AM","SnowPlus Staff","Greg Skonie"
"Sec 19 - Elk Grove Village","1300 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:47 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1400 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:46 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1301-1401 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:46 AM","SnowPlus Staff","Ernie Vargas"
