Location,Property,"Area Serviced (choose all that apply)","Acres Salted","Blade Used","Submission Date","Submitted By","Assigned To"
"Sec 25 - Glendale Heights","1620 & 1640 Fullerton Ct","North  Side       ,South Side      ","1/4 of lot",no,"02/02/2016 01:27 AM","SnowPlus Staff","Paul Steinhauer"
"Sec 15 - Carol Stream East","437 Tower","North  Side       ,South Side      ","1/4 of lot",no,"02/02/2016 01:27 AM","SnowPlus Staff","Cody Moutvic"
"Sec 07 - Bensenville","659-699 Supreme","North  Side       ,South Side      ","1/16 of lot ",no,"02/02/2016 01:23 AM","SnowPlus Staff","Ernie Vargas"
"Sec 17 - Lombard / Oakbrook","Oak brook International","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:22 AM","SnowPlus Staff","Jim Rose"
"Sec 35 - Woodridge Industrial","2300 Internationale","North  Side       ,East Side       ","1/8 of lot",no,"02/02/2016 01:22 AM","SnowPlus Staff","Doug Hendon"
"Sec 24 - Elmhurst","11700 Grand","East Side       ","1/16 of lot ",no,"02/02/2016 01:21 AM","SnowPlus Staff","Jim Jungles"
"Sec 02 - Alsip","11800 S Austin - Komatsu Forklift","North  Side       ","1/8 of lot",no,"02/02/2016 01:19 AM","SnowPlus Staff",
"Sec 32 - Schaumburg","Bed Bath & Beyond",,"1/2 of lot",no,"02/02/2016 01:19 AM","SnowPlus Staff","Connor Young"
"Sec 02 - Alsip","11740  South Austin - Toyota","North  Side       ","1/8 of lot",no,"02/02/2016 01:19 AM","SnowPlus Staff",
"Sec 07 - Bensenville","595-601 Supreme","West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:18 AM","SnowPlus Staff","Ernie Vargas"
"Sec 35 - Woodridge Industrial","2401 Internationale","North  Side       ,South Side      ","1/2 of lot",no,"02/02/2016 01:17 AM","SnowPlus Staff","Doug Hendon"
"Sec 24 - Elmhurst","949 - 853 Larch","South Side      ,West Side       ","1/16 of lot ",no,"02/02/2016 01:15 AM","SnowPlus Staff","Jim Jungles"
"Sec 28 - Naperville East","Canterra Commons","North  Side       ,South Side      ,West Side       ","1/8 of lot",no,"02/02/2016 01:15 AM","SnowPlus Staff","Scott Erickson"
"Sec 07 - Bensenville","1141 Ellis","North  Side       ,South Side      ","1/16 of lot ",no,"02/02/2016 01:15 AM","SnowPlus Staff","Ernie Vargas"
"Sec 35 - Woodridge Industrial","Graham Packaging","South Side      ,East Side       ","1/16 of lot ",no,"02/02/2016 01:14 AM","SnowPlus Staff","Doug Hendon"
"Sec 17 - Lombard / Oakbrook","Art Van - Butterfield","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:12 AM","SnowPlus Staff","Greg Skonie"
"Sec 35 - Woodridge Industrial","2500 Internationale","South Side      ,East Side       ","1/16 of lot ",no,"02/02/2016 01:12 AM","SnowPlus Staff","Doug Hendon"
"Sec 15 - Carol Stream East","900 Kimberly","North  Side       ,East Side       ","1/8 of lot",no,"02/02/2016 01:12 AM","SnowPlus Staff","Cody Moutvic"
"Sec 35 - Woodridge Industrial","2500 Internationale","South Side      ,East Side       ","1/16 of lot ",no,"02/02/2016 01:11 AM","SnowPlus Staff","Doug Hendon"
"Sec 32 - Schaumburg","1300 Plum Grove",,"whole lot",no,"02/02/2016 01:10 AM","SnowPlus Staff","Brandon Temesuary"
"Sec 24 - Elmhurst","777 Church","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:09 AM","SnowPlus Staff","Jim Jungles"
"Sec 15 - Carol Stream East","230 Lies","South Side      ,West Side       ,East Side       ","1/4 of lot",no,"02/02/2016 01:07 AM","SnowPlus Staff","Cody Moutvic"
"Sec 12 - Bolingbrook Southwest","710 Theodore","North  Side       ","1/16 of lot ",no,"02/02/2016 01:07 AM","SnowPlus Staff","Adam Halm"
"Sec 15 - Carol Stream East","376 Lies","North  Side       ,South Side      ,West Side       ,East Side       ","1/2 of lot",no,"02/02/2016 01:06 AM","SnowPlus Staff","Cody Moutvic"
"Sec 17 - Lombard / Oakbrook","Eisenhower Buildings","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:05 AM","SnowPlus Staff","Greg Skonie"
"Sec 16 - Carol Stream West","Wheaton Sports Center","North  Side       ","1/4 of lot",no,"02/02/2016 01:02 AM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","235 Tubeway","North  Side       ","1/4 of lot",no,"02/02/2016 01:02 AM","SnowPlus Staff","Leo Vargas"
"Sec 28 - Naperville East","2012 Corporate","South Side      ,West Side       ","1/8 of lot",no,"02/02/2016 01:00 AM","SnowPlus Staff","Scott Erickson"
"Sec 20 - Elk Grove Village North","Regent O'Hare Building E & F","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"02/02/2016 01:00 AM","SnowPlus Staff","Ernie Vargas"
"Sec 16 - Carol Stream West","365 North Ave","North  Side       ,South Side      ","1/2 of lot",no,"02/02/2016 01:00 AM","SnowPlus Staff","Leo Vargas"
"Sec 20 - Elk Grove Village North","Regent O'Hare Building E & F","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"02/02/2016 12:59 AM","SnowPlus Staff","Ernie Vargas"
"Sec 16 - Carol Stream West","365 North Ave","North  Side       ","1/4 of lot",no,"02/02/2016 12:59 AM","SnowPlus Staff","Leo Vargas"
"Sec 08 - Berkeley","5300 Proviso","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 12:58 AM","SnowPlus Staff","Jim Jungles"
"Sec 08 - Berkeley","5300 Proviso","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 12:58 AM","SnowPlus Staff","Jim Jungles"
"Sec 08 - Berkeley","5000 Proviso","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 12:57 AM","SnowPlus Staff","Jim Jungles"
"Sec 08 - Berkeley","4700 Proviso","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 12:57 AM","SnowPlus Staff","Jim Jungles"
"Sec 29 - Naperville West",Kellogg,"North  Side       ,West Side       ","1/16 of lot ",no,"02/02/2016 12:46 AM","SnowPlus Staff","Scott Erickson"
"Sec 15 - Carol Stream East","355 Long View","North  Side       ,South Side      ,West Side       ,East Side       ","1/2 of lot",no,"02/02/2016 12:46 AM","SnowPlus Staff","Cody Moutvic"
"Sec 29 - Naperville West","International Paper","North  Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 12:45 AM","SnowPlus Staff","Scott Erickson"
"Sec 32 - Schaumburg","930 National",,"1/16 of lot ",no,"02/02/2016 12:37 AM","SnowPlus Staff","Brandon Temesuary"
"Sec 20 - Elk Grove Village North","1800 Landmeier","South Side      ,East Side       ","1/8 of lot",no,"02/02/2016 12:36 AM","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","Tech Center I","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"02/02/2016 12:33 AM","SnowPlus Staff","Ernie Vargas"
"Sec 09 - Bolingbrook North","1055 Remington","North  Side       ","1/16 of lot ",no,"02/02/2016 12:32 AM","SnowPlus Staff","Bill Gabris"
"Sec 09 - Bolingbrook North","850 Veterans","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 12:32 AM","SnowPlus Staff","Bill Gabris"
"Sec 09 - Bolingbrook North","605 Territorial","North  Side       ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 12:31 AM","SnowPlus Staff","Bill Gabris"
"Sec 09 - Bolingbrook North","595 Territorial","North  Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 12:31 AM","SnowPlus Staff","Bill Gabris"
"Sec 09 - Bolingbrook North","655 Remington","North  Side       ","1/16 of lot ",no,"02/02/2016 12:31 AM","SnowPlus Staff","Bill Gabris"
"Sec 09 - Bolingbrook North","750 Veterans","North  Side       ,South Side      ","1/16 of lot ",no,"02/02/2016 12:31 AM","SnowPlus Staff","Tom Ustaszewski"
"Sec 29 - Naperville West","220 Frontenac","North  Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 12:31 AM","SnowPlus Staff","Mito Sopko"
"Sec 09 - Bolingbrook North","500 & 510 Territorial & 1 Northpointe Ct","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 12:30 AM","SnowPlus Staff","Tom Ustaszewski"
"Sec 09 - Bolingbrook North","606-612 Territorial","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 12:30 AM","SnowPlus Staff","Tom Ustaszewski"
"Sec 09 - Bolingbrook North","850 Remington","North  Side       ,South Side      ,West Side       ","1/16 of lot ",no,"02/02/2016 12:30 AM","SnowPlus Staff","Tom Ustaszewski"
"Sec 09 - Bolingbrook North","581 Territorial","North  Side       ,West Side       ","1/16 of lot ",no,"02/02/2016 12:30 AM","SnowPlus Staff","Tom Ustaszewski"
"Sec 08 - Berkeley","250 Manhiem","North  Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 12:30 AM","SnowPlus Staff","Jim Jungles"
"Sec 32 - Schaumburg","Art Van Schaumburg",,"1/8 of lot",no,"02/02/2016 12:29 AM","SnowPlus Staff","Brandon Temesuary"
"Sec 02 - Alsip","5100 W 123rd - Roosevelt Paper","North  Side       ","1/8 of lot",no,"02/02/2016 12:28 AM","SnowPlus Staff",
"Sec 33 - University Park","Matteson Retail Center","East Side       ","1/16 of lot ",no,"02/02/2016 12:27 AM","SnowPlus Staff","Scott Senne"
"Sec 15 - Carol Stream East","125 Army Trail","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"02/02/2016 12:27 AM","SnowPlus Staff","Cody Moutvic"
"Sec 20 - Elk Grove Village North","Regent O'Hare Building Industrial Center","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"02/02/2016 12:23 AM","SnowPlus Staff","Ernie Vargas"
"Sec 15 - Carol Stream East","175 Wall St","South Side      ,West Side       ","1/4 of lot",no,"02/02/2016 12:20 AM","SnowPlus Staff","Cody Moutvic"
"Sec 31 - Roselle","5700 Turnberry",,"1/16 of lot ",no,"02/02/2016 12:20 AM","SnowPlus Staff","Chad Meyer"
"Sec 32 - Schaumburg","1051 Perimeter",,"1/16 of lot ",no,"02/02/2016 12:19 AM","SnowPlus Staff","Brandon Temesuary"
"Sec 12 - Bolingbrook Southwest","760 Crossroads","North  Side       ,South Side      ","1/16 of lot ",no,"02/02/2016 12:14 AM","SnowPlus Staff","Adam Halm"
"Sec 12 - Bolingbrook Southwest","969 Veterans","South Side      ","1/16 of lot ",no,"02/02/2016 12:13 AM","SnowPlus Staff","Adam Halm"
"Sec 15 - Carol Stream East","545 Fullerton","North  Side       ,South Side      ","1/4 of lot",no,"02/02/2016 12:10 AM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","90 West Lake","West Side       ","1/16 of lot ",no,"02/02/2016 12:02 AM","SnowPlus Staff","Cody Moutvic"
"Sec 33 - University Park","UTI Michelin","South Side      ,West Side       ,East Side       ","1/8 of lot",,"02/01/2016 11:54 PM","SnowPlus Staff","Scott Senne"
"Sec 33 - University Park","DSC Logistics","North  Side       ,East Side       ","1/8 of lot",,"02/01/2016 11:53 PM","SnowPlus Staff","Scott Senne"
"Sec 33 - University Park","UTI Michelin","South Side      ,West Side       ,East Side       ","1/2 of lot",no,"02/01/2016 11:52 PM","SnowPlus Staff","Scott Senne"
"Sec 04 - Aurora West / Batavia","West Aurora Plaza","East Side       ","1/2 of lot",yes,"02/01/2016 12:25 PM","Admin Admin",
