Location,Property,"Area Serviced (choose all that apply)","Acres Salted","Blade Used","Submission Date","Submitted By","Assigned To"
"Sec 16 - Carol Stream West","235 Tubeway","East Side       ","1/16 of lot ",no,"02/18/2016 03:59 AM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","225 Westgate","North  Side       ,South Side      ","1/16 of lot ",yes,"02/18/2016 03:58 AM","SnowPlus Staff","Leo Vargas"
"Sec 15 - Carol Stream East","221 Covington","North  Side       ,South Side      ,West Side       ","1/16 of lot ",no,"02/18/2016 03:52 AM","SnowPlus Staff","Cody Moutvic"
"Sec 34 - Woodridge Retail","Darien Towne Center","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 03:40 AM","SnowPlus Staff","Dan Castro"
"Sec 09 - Bolingbrook North","1055 Remington","South Side      ,West Side       ","1/16 of lot ",no,"02/18/2016 03:39 AM","SnowPlus Staff","Bill Gabris"
"Sec 19 - Elk Grove Village","1290 Thorndale",,"1/16 of lot ",no,"02/18/2016 03:37 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1380-1410 Kirk",,"1/16 of lot ",no,"02/18/2016 03:36 AM","SnowPlus Staff","Ernie Vargas"
"Sec 09 - Bolingbrook North","606-612 Territorial","North  Side       ,South Side      ,East Side       ","1/8 of lot",no,"02/18/2016 03:34 AM","SnowPlus Staff","Tom Ustaszewski"
"Sec 16 - Carol Stream West","365 North Ave","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 03:32 AM","SnowPlus Staff","Leo Vargas"
"Sec 19 - Elk Grove Village","1100 Thorndale",,"1/16 of lot ",no,"02/18/2016 03:28 AM","SnowPlus Staff","Ernie Vargas"
"Sec 17 - Lombard / Oakbrook","601 Oakmont","North  Side       ,South Side      ,West Side       ,East Side       ","whole lot",no,"02/18/2016 03:27 AM","SnowPlus Staff","Greg Skonie"
"Sec 25 - Glendale Heights","80 International",,"1/16 of lot ",no,"02/18/2016 03:25 AM","SnowPlus Staff","Paul Steinhauer"
"Sec 19 - Elk Grove Village","2800 - 2900 Lively",,"1/16 of lot ",no,"02/18/2016 03:24 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2700 Carl",,"1/16 of lot ",no,"02/18/2016 03:20 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2800 Carl",,"1/4 of lot",no,"02/18/2016 03:20 AM","SnowPlus Staff","Ernie Vargas"
"Sec 25 - Glendale Heights","111 International",,"1/16 of lot ",no,"02/18/2016 03:19 AM","SnowPlus Staff","Paul Steinhauer"
"Sec 09 - Bolingbrook North","605 Territorial","South Side      ,West Side       ,East Side       ","1/4 of lot",yes,"02/18/2016 03:18 AM","SnowPlus Staff","Bill Gabris"
"Sec 25 - Glendale Heights","110 International",,"1/16 of lot ",no,"02/18/2016 03:17 AM","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","180 Exchange",,"1/16 of lot ",no,"02/18/2016 03:12 AM","SnowPlus Staff","Paul Steinhauer"
"Sec 19 - Elk Grove Village","900 Thorndale",,"1/16 of lot ",no,"02/18/2016 03:10 AM","SnowPlus Staff","Ernie Vargas"
"Sec 06 - McCook",EMD,"North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 03:07 AM","SnowPlus Staff","Richard Groome"
"Sec 09 - Bolingbrook North","850 Remington","North  Side       ,South Side      ","1/8 of lot",no,"02/18/2016 03:03 AM","SnowPlus Staff","Tom Ustaszewski"
"Sec 07 - Bensenville","855 Woodale",,"1/2 of lot",no,"02/18/2016 03:02 AM","SnowPlus Staff","Ernie Vargas"
"Sec 25 - Glendale Heights","1620 & 1640 Fullerton Ct",,"1/16 of lot ",no,"02/18/2016 03:01 AM","SnowPlus Staff","Paul Steinhauer"
"Sec 18 - Mt. Prospect-Glenview","1471 Business Center","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 02:58 AM","SnowPlus Staff","Bobby Gomez"
"Sec 17 - Lombard / Oakbrook","1 S 450 Summit","North  Side       ,South Side      ,West Side       ,East Side       ","1/2 of lot",no,"02/18/2016 02:56 AM","SnowPlus Staff","Greg Skonie"
"Sec 17 - Lombard / Oakbrook","1 S 450 Summit","North  Side       ,South Side      ,West Side       ,East Side       ","1/2 of lot",no,"02/18/2016 02:55 AM","SnowPlus Staff","Greg Skonie"
"Sec 25 - Glendale Heights","1601 & 1625 Fullerton",,"1/8 of lot",no,"02/18/2016 02:50 AM","SnowPlus Staff","Paul Steinhauer"
"Sec 02 - Alsip","7400 Richard - World Imports","South Side      ","1/16 of lot ",no,"02/18/2016 02:45 AM","SnowPlus Staff",
"Sec 07 - Bensenville","311 Richert",,"1/16 of lot ",no,"02/18/2016 02:42 AM","SnowPlus Staff","Ernie Vargas"
"Sec 25 - Glendale Heights","699 Regency",,"1/16 of lot ",no,"02/18/2016 02:40 AM","SnowPlus Staff","Paul Steinhauer"
"Sec 17 - Lombard / Oakbrook","2301-2311 22nd St","North  Side       ,South Side      ,West Side       ,East Side       ","1/2 of lot",no,"02/18/2016 02:38 AM","SnowPlus Staff","Greg Skonie"
"Sec 07 - Bensenville","571-599 Edgewood",,"1/16 of lot ",no,"02/18/2016 02:35 AM","SnowPlus Staff","Ernie Vargas"
"Sec 25 - Glendale Heights","139 Army Trail",,"1/8 of lot",no,"02/18/2016 02:30 AM","SnowPlus Staff","Paul Steinhauer"
"Sec 07 - Bensenville","975-1001 Bryn Mawr",,"1/8 of lot",no,"02/18/2016 02:29 AM","SnowPlus Staff","Ernie Vargas"
"Sec 09 - Bolingbrook North","340 Remington","South Side      ,West Side       ","1/16 of lot ",no,"02/18/2016 02:29 AM","SnowPlus Staff","Tom Ustaszewski"
"Sec 23 - Rosemont","Columbia Center III","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"02/18/2016 02:28 AM","SnowPlus Staff","Jim Jungles"
"Sec 23 - Rosemont","Columbia Center I & II","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 02:27 AM","SnowPlus Staff","Jim Jungles"
"Sec 27 - Joliet","3311 & 3325 Corporate","West Side       ,East Side       ","1/8 of lot",no,"02/18/2016 02:27 AM","SnowPlus Staff","Bob Inabnit"
"Sec 02 - Alsip","11939 S. Central","South Side      ","1/16 of lot ",no,"02/18/2016 02:27 AM","SnowPlus Staff",
"Sec 02 - Alsip","11800 S Austin - Komatsu Forklift","North  Side       ","1/8 of lot",no,"02/18/2016 02:26 AM","SnowPlus Staff",
"Sec 02 - Alsip","11740  South Austin - Toyota","North  Side       ","1/4 of lot",no,"02/18/2016 02:25 AM","SnowPlus Staff",
"Sec 07 - Bensenville","1001 Foster",,"1/16 of lot ",no,"02/18/2016 02:24 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","1010 Foster",,"whole lot",no,"02/18/2016 02:24 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","626-630 Thomas",,"1/16 of lot ",no,"02/18/2016 02:24 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","626-630 Thomas",,"1/16 of lot ",no,"02/18/2016 02:24 AM","SnowPlus Staff","Ernie Vargas"
"Sec 17 - Lombard / Oakbrook","Oak brook International","North  Side       ,South Side      ,West Side       ,East Side       ","1/2 of lot",no,"02/18/2016 02:21 AM","SnowPlus Staff","Jim Rose"
"Sec 31 - Roselle","1600 Central",,"1/8 of lot",no,"02/18/2016 02:12 AM","SnowPlus Staff","Chad Meyer"
"Sec 15 - Carol Stream East","417 Village","West Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 02:11 AM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","700 Kimberly","North  Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 02:04 AM","SnowPlus Staff","Cody Moutvic"
"Sec 23 - Rosemont","3708 River","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 02:02 AM","SnowPlus Staff","Jim Jungles"
"Sec 08 - Berkeley","Melrose Park Center","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"02/18/2016 02:01 AM","SnowPlus Staff","Jim Jungles"
"Sec 17 - Lombard / Oakbrook","Art Van - Butterfield","North  Side       ,South Side      ,West Side       ,East Side       ","1/4 of lot",no,"02/18/2016 01:59 AM","SnowPlus Staff","Greg Skonie"
"Sec 17 - Lombard / Oakbrook","Eisenhower Buildings","North  Side       ,South Side      ,West Side       ,East Side       ","1/2 of lot",no,"02/18/2016 01:58 AM","SnowPlus Staff","Greg Skonie"
"Sec 07 - Bensenville","971-991 Supreme",,"whole lot",no,"02/18/2016 01:58 AM","SnowPlus Staff","Ernie Vargas"
"Sec 31 - Roselle","50 Gary",,"1/4 of lot",no,"02/18/2016 01:54 AM","SnowPlus Staff","Chad Meyer"
"Sec 15 - Carol Stream East","810 Kimberly","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 01:53 AM","SnowPlus Staff","Cody Moutvic"
"Sec 31 - Roselle","100 Gary",,"1/4 of lot",no,"02/18/2016 01:53 AM","SnowPlus Staff","Chad Meyer"
"Sec 02 - Alsip","5100 W 123rd - Roosevelt Paper","North  Side       ,South Side      ,West Side       ,East Side       ","1/4 of lot",no,"02/18/2016 01:52 AM","SnowPlus Staff",
"Sec 33 - University Park","Matteson Retail Center","East Side       ","1/16 of lot ",no,"02/18/2016 01:51 AM","SnowPlus Staff","Scott Senne"
"Sec 01 - Addison","710 Belden","South Side      ,West Side       ,East Side       ","1/4 of lot",no,"02/18/2016 01:51 AM","SnowPlus Staff","Wally Sternberg"
"Sec 07 - Bensenville","630-650 Supreme",,"1/4 of lot",no,"02/18/2016 01:51 AM","SnowPlus Staff","Ernie Vargas"
"Sec 27 - Joliet","3311 & 3325 Corporate","West Side       ,East Side       ","1/8 of lot",no,"02/18/2016 01:44 AM","SnowPlus Staff","Bob Inabnit"
"Sec 07 - Bensenville","600-608 & 610-620 Supreme ( 2 bdgs)",,"1/4 of lot",no,"02/18/2016 01:43 AM","SnowPlus Staff","Ernie Vargas"
"Sec 15 - Carol Stream East","900 Kimberly","North  Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 01:42 AM","SnowPlus Staff","Cody Moutvic"
"Sec 31 - Roselle","200 Gary",,"1/2 of lot",no,"02/18/2016 01:41 AM","SnowPlus Staff","Chad Meyer"
"Sec 01 - Addison","775 Belden","North  Side       ,West Side       ,East Side       ","1/8 of lot",yes,"02/18/2016 01:38 AM","SnowPlus Staff","Wally Sternberg"
"Sec 07 - Bensenville","560-590 Supreme",,"1/4 of lot",no,"02/18/2016 01:37 AM","SnowPlus Staff","Ernie Vargas"
"Sec 15 - Carol Stream East","230 Lies","North  Side       ,West Side       ","1/16 of lot ",no,"02/18/2016 01:35 AM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","376 Lies","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 01:35 AM","SnowPlus Staff","Cody Moutvic"
"Sec 07 - Bensenville","860-888 Thomas",,"1/2 of lot",no,"02/18/2016 01:32 AM","SnowPlus Staff","Ernie Vargas"
"Sec 24 - Elmhurst","11700 Grand","West Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 01:30 AM","SnowPlus Staff","Jim Jungles"
"Sec 05 - Bedford Park","Northstar Aerospace","North  Side       ,South Side      ","1/16 of lot ",no,"02/18/2016 01:29 AM","SnowPlus Staff","Enick Morris"
"Sec 01 - Addison","780 Belden","North  Side       ,South Side      ,East Side       ","1/8 of lot",no,"02/18/2016 01:25 AM","SnowPlus Staff","Wally Sternberg"
"Sec 07 - Bensenville","595-601 Supreme",,"1/16 of lot ",no,"02/18/2016 01:25 AM","SnowPlus Staff","Ernie Vargas"
"Sec 27 - Joliet","1695 Crossroads","North  Side       ,West Side       ,East Side       ","1/8 of lot",no,"02/18/2016 01:25 AM","SnowPlus Staff","Bob Inabnit"
"Sec 24 - Elmhurst","777 Church","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 01:24 AM","SnowPlus Staff","Jim Jungles"
"Sec 31 - Roselle","200 Gary Service Road",,"1/8 of lot",no,"02/18/2016 01:24 AM","SnowPlus Staff","Chad Meyer"
"Sec 24 - Elmhurst","949 - 853 Larch","South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 01:24 AM","SnowPlus Staff","Jim Jungles"
"Sec 07 - Bensenville","1141 Ellis",,"1/4 of lot",no,"02/18/2016 01:23 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","645-651 Supreme",,"1/8 of lot",no,"02/18/2016 01:22 AM","SnowPlus Staff","Ernie Vargas"
"Sec 05 - Bedford Park","7301 - 7361 Meade","West Side       ","1/16 of lot ",no,"02/18/2016 01:21 AM","SnowPlus Staff","Enick Morris"
"Sec 27 - Joliet","4001 Rock Creek","West Side       ","1/8 of lot",no,"02/18/2016 01:19 AM","SnowPlus Staff","Bob Inabnit"
"Sec 31 - Roselle","Maines Foods",,"1/4 of lot",no,"02/18/2016 01:18 AM","SnowPlus Staff","Chad Meyer"
"Sec 01 - Addison","350 Rohlwing - Vanport Warehousing","North  Side       ,South Side      ,West Side       ,East Side       ","1/4 of lot",no,"02/18/2016 01:15 AM","SnowPlus Staff","Wally Sternberg"
"Sec 07 - Bensenville","659-699 Supreme",,"1/16 of lot ",no,"02/18/2016 01:10 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","950-990 Supreme",,"1/2 of lot",no,"02/18/2016 01:09 AM","SnowPlus Staff","Ernie Vargas"
"Sec 33 - University Park","UTI Michelin","South Side      ,East Side       ","1/16 of lot ",no,"02/18/2016 01:06 AM","SnowPlus Staff","Scott Senne"
"Sec 15 - Carol Stream East","355 Long View","North  Side       ,South Side      ,West Side       ","1/16 of lot ",no,"02/18/2016 01:06 AM","SnowPlus Staff","Cody Moutvic"
"Sec 27 - Joliet","4001 Rock Creek","West Side       ","1/8 of lot",no,"02/18/2016 01:06 AM","SnowPlus Staff","Bob Inabnit"
"Sec 33 - University Park","DSC Logistics","North  Side       ,South Side      ,East Side       ","1/16 of lot ",,"02/18/2016 01:06 AM","SnowPlus Staff","Scott Senne"
"Sec 01 - Addison","2171 Executive","North  Side       ,South Side      ,East Side       ","1/8 of lot",no,"02/18/2016 12:58 AM","SnowPlus Staff","Wally Sternberg"
"Sec 08 - Berkeley","5300 Proviso","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 12:57 AM","SnowPlus Staff","Jim Jungles"
"Sec 07 - Bensenville","877 Supreme",,"1/16 of lot ",no,"02/18/2016 12:56 AM","SnowPlus Staff","Ernie Vargas"
"Sec 31 - Roselle","5700 Turnberry",,"1/8 of lot",no,"02/18/2016 12:55 AM","SnowPlus Staff","Chad Meyer"
"Sec 08 - Berkeley","5000 Proviso","South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 12:55 AM","SnowPlus Staff","Jim Jungles"
"Sec 15 - Carol Stream East","125 Army Trail","North  Side       ","1/16 of lot ",no,"02/18/2016 12:55 AM","SnowPlus Staff","Cody Moutvic"
"Sec 08 - Berkeley","4700 Proviso","South Side      ,East Side       ","1/16 of lot ",no,"02/18/2016 12:55 AM","SnowPlus Staff","Jim Jungles"
"Sec 08 - Berkeley","250 Manhiem","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 12:54 AM","SnowPlus Staff","Jim Jungles"
"Sec 15 - Carol Stream East","175 Wall St","South Side      ,West Side       ","1/16 of lot ",no,"02/18/2016 12:53 AM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","437 Tower","North  Side       ,South Side      ","1/16 of lot ",no,"02/18/2016 12:52 AM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","545 Fullerton","North  Side       ,South Side      ","1/16 of lot ",no,"02/18/2016 12:51 AM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","90 West Lake","West Side       ","1/16 of lot ",no,"02/18/2016 12:51 AM","SnowPlus Staff","Cody Moutvic"
"Sec 01 - Addison","Devry University","North  Side       ,South Side      ,West Side       ,East Side       ","1/2 of lot",no,"02/18/2016 12:47 AM","SnowPlus Staff","Wally Sternberg"
"Sec 21 - Bartlett","Stearns Crossing (Retail)",,"1/16 of lot ",no,"02/18/2016 12:34 AM","SnowPlus Staff","Chad Meyer"
"Sec 10 - Bolingbrook West","1290 Remington","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",yes,"02/16/2016 04:16 AM","SnowPlus Staff","Donato Garcia"
"Sec 27 - Joliet","3311 & 3325 Corporate","South Side      ,West Side       ,East Side       ","1/8 of lot",yes,"02/16/2016 04:14 AM","SnowPlus Staff","Bob Inabnit"
"Sec 27 - Joliet","3311 & 3325 Corporate","South Side      ,West Side       ,East Side       ","1/8 of lot",yes,"02/16/2016 04:14 AM","SnowPlus Staff","Bob Inabnit"
"Sec 27 - Joliet","4001 Rock Creek","North  Side       ,South Side      ,West Side       ","1/16 of lot ",no,"02/16/2016 04:14 AM","SnowPlus Staff","Bob Inabnit"
"Sec 10 - Bolingbrook West","1101-1109 Windham  2 bldgs","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/16/2016 04:00 AM","SnowPlus Staff","Donato Garcia"
"Sec 27 - Joliet","4001 Rock Creek","North  Side       ,South Side      ,West Side       ","1/16 of lot ",no,"02/16/2016 02:18 AM","SnowPlus Staff","Bob Inabnit"
"Sec 17 - Lombard / Oakbrook","1 S 450 Summit","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/16/2016 02:16 AM","SnowPlus Staff","Greg Skonie"
"Sec 27 - Joliet","1695 Crossroads","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",yes,"02/16/2016 02:12 AM","SnowPlus Staff","Bob Inabnit"
"Sec 17 - Lombard / Oakbrook","Eisenhower Buildings","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",yes,"02/16/2016 01:59 AM","SnowPlus Staff","Greg Skonie"
"Sec 17 - Lombard / Oakbrook","Eisenhower Buildings","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",yes,"02/16/2016 01:59 AM","SnowPlus Staff","Greg Skonie"
"Sec 27 - Joliet","3311 & 3325 Corporate","South Side      ,West Side       ,East Side       ","1/8 of lot",yes,"02/16/2016 01:55 AM","SnowPlus Staff","Bob Inabnit"
"Sec 27 - Joliet","3311 & 3325 Corporate","South Side      ,West Side       ,East Side       ","1/8 of lot",yes,"02/16/2016 01:55 AM","SnowPlus Staff","Bob Inabnit"
"Sec 19 - Elk Grove Village","2781 Katherine","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/16/2016 01:54 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1107 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/16/2016 01:54 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1400 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/16/2016 01:54 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1201-1251 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/16/2016 01:54 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1301-1401 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/16/2016 01:54 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2781 Katherine","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/16/2016 01:32 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1301-1401 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/16/2016 01:31 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1400 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/16/2016 01:31 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1201-1251 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/16/2016 01:30 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1107 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/16/2016 01:29 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1501 Pratt","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/16/2016 01:29 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1601 Pratt","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/16/2016 01:28 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","630-650 Supreme","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",yes,"02/14/2016 02:26 PM","SnowPlus Staff","Ernie Vargas"
"Sec 17 - Lombard / Oakbrook","The Crossings","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/11/2016 05:18 AM","SnowPlus Staff","Jim Rose"
"Sec 17 - Lombard / Oakbrook","Oak brook International","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/11/2016 05:18 AM","SnowPlus Staff","Jim Rose"
"Sec 17 - Lombard / Oakbrook","Eisenhower Buildings","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/11/2016 04:28 AM","SnowPlus Staff","Greg Skonie"
"Sec 30 - Lisle / Warrenville","1000 & 1100 Warrenville","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/11/2016 03:57 AM","SnowPlus Staff","Scott Erickson"
"Sec 29 - Naperville West",Kellogg,"North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/11/2016 03:39 AM","SnowPlus Staff","Scott Erickson"
"Sec 22 - Elgin",Chase,"North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/11/2016 02:48 AM","SnowPlus Staff","Freddy Martin"
"Sec 32 - Schaumburg",Sunstar,"North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/11/2016 02:00 AM","SnowPlus Staff","Connor Young"
"Sec 26 - Itasca",Canon,"North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/11/2016 01:37 AM","SnowPlus Staff","Don Down"
"Sec 01 - Addison","780 Belden","North  Side       ,East Side       ","1/16 of lot ",no,"02/11/2016 12:40 AM","SnowPlus Staff","Wally Sternberg"
"Sec 29 - Naperville West","220 Frontenac","East Side       ","1/4 of lot",yes,"02/10/2016 03:54 AM","SnowPlus Staff","Mito Sopko"
"Sec 29 - Naperville West","International Paper","South Side      ","1/4 of lot",yes,"02/10/2016 03:34 AM","SnowPlus Staff","Scott Erickson"
"Sec 07 - Bensenville","855 Woodale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 02:57 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","201 Hansen","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 02:57 AM","SnowPlus Staff","Ernie Vargas"
"Sec 29 - Naperville West","International Paper",,"1/8 of lot",yes,"02/10/2016 02:47 AM","SnowPlus Staff","Scott Erickson"
"Sec 20 - Elk Grove Village North","951 Fargo","North  Side       ,South Side      ,East Side       ","1/16 of lot ",no,"02/10/2016 02:32 AM","SnowPlus Staff","Ernie Vargas"
