Location,Property,"Area Serviced (choose all that apply)","Acres Salted","Blade Used","Submission Date","Submitted By","Assigned To"
"Sec 26 - Itasca","690 Hilltop","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"02/18/2016 04:44 AM","SnowPlus Staff","Don Down"
"Sec 26 - Itasca","909 Irving Park","South Side      ,East Side       ","1/16 of lot ",no,"02/18/2016 04:37 AM","SnowPlus Staff","Don Down"
"Sec 35 - Woodridge Industrial","10350 Beaudin","North  Side       ,West Side       ,East Side       ","1/4 of lot",no,"02/18/2016 04:33 AM","SnowPlus Staff","Doug Hendon"
"Sec 02 - Alsip","Evergreen Market Place - Retail","East Side       ","1/16 of lot ",no,"02/18/2016 04:25 AM","SnowPlus Staff",
"Sec 26 - Itasca","1376 Industrial","North  Side       ,West Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 04:25 AM","SnowPlus Staff","Don Down"
"Sec 02 - Alsip","Evergreen Market Place - Retail","East Side       ",,,"02/18/2016 04:25 AM","SnowPlus Staff",
"Sec 35 - Woodridge Industrial","10220 Werch","North  Side       ,South Side      ,West Side       ","1/4 of lot",no,"02/18/2016 04:21 AM","SnowPlus Staff","Doug Hendon"
"Sec 18 - Mt. Prospect-Glenview","1000 Milwaukee","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"02/18/2016 04:20 AM","SnowPlus Staff","Bobby Gomez"
"Sec 35 - Woodridge Industrial","Graham Packaging","West Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 04:20 AM","SnowPlus Staff","Doug Hendon"
"Sec 35 - Woodridge Industrial","2300 Internationale","East Side       ","1/16 of lot ",no,"02/18/2016 04:18 AM","SnowPlus Staff","Doug Hendon"
"Sec 35 - Woodridge Industrial","2500 Internationale","East Side       ","1/16 of lot ",no,"02/18/2016 04:17 AM","SnowPlus Staff","Doug Hendon"
"Sec 17 - Lombard / Oakbrook","The Crossings","North  Side       ,South Side      ,West Side       ,East Side       ","whole lot",no,"02/18/2016 04:16 AM","SnowPlus Staff","Jim Rose"
"Sec 17 - Lombard / Oakbrook","The Crossings","North  Side       ,South Side      ,West Side       ,East Side       ","whole lot",no,"02/18/2016 04:16 AM","SnowPlus Staff","Jim Rose"
"Sec 35 - Woodridge Industrial",Xcell,"West Side       ","1/2 of lot",no,"02/18/2016 04:12 AM","SnowPlus Staff","Doug Hendon"
"Sec 35 - Woodridge Industrial",Xcell,"West Side       ","1/2 of lot",no,"02/18/2016 04:12 AM","SnowPlus Staff","Doug Hendon"
"Sec 35 - Woodridge Industrial","2500 Internationale","South Side      ,East Side       ","1/16 of lot ",no,"02/18/2016 04:07 AM","SnowPlus Staff","Doug Hendon"
"Sec 34 - Woodridge Retail","Art Van - Woodridge","North  Side       ,South Side      ","1/16 of lot ",no,"02/18/2016 04:05 AM","SnowPlus Staff","Dan Castro"
"Sec 34 - Woodridge Retail","Centerpointe Retail Centre","South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/18/2016 04:04 AM","SnowPlus Staff","Dan Castro"
"Sec 16 - Carol Stream West","Fresh Markets","North  Side       ","1/16 of lot ",no,"02/18/2016 04:01 AM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","189 Easy","North  Side       ","1/16 of lot ",no,"02/18/2016 04:01 AM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","Wheaton Sports Center","North  Side       ,West Side       ,East Side       ","1/8 of lot",no,"02/18/2016 04:00 AM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","138-158 Alexandra Way","North  Side       ,West Side       ,East Side       ","1/2 of lot",no,"02/18/2016 03:59 AM","SnowPlus Staff","Leo Vargas"
