Location,Property,"Area Serviced (choose all that apply)","Acres Salted","Blade Used","Submission Date","Submitted By","Assigned To"
"Sec 01 - Addison","710 Belden","South Side      ,West Side       ,East Side       ","1/4 of lot",no,"02/18/2016 01:51 AM","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","775 Belden","North  Side       ,West Side       ,East Side       ","1/8 of lot",yes,"02/18/2016 01:38 AM","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","780 Belden","North  Side       ,South Side      ,East Side       ","1/8 of lot",no,"02/18/2016 01:25 AM","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","350 Rohlwing - Vanport Warehousing","North  Side       ,South Side      ,West Side       ,East Side       ","1/4 of lot",no,"02/18/2016 01:15 AM","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","2171 Executive","North  Side       ,South Side      ,East Side       ","1/8 of lot",no,"02/18/2016 12:58 AM","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","Devry University","North  Side       ,South Side      ,West Side       ,East Side       ","1/2 of lot",no,"02/18/2016 12:47 AM","SnowPlus Staff","Wally Sternberg"
